Id;F_wh;C_wh;F_coord;C_coord
37656;311144;331551;49.162533,42.962288;47.125646068958,39.429415875834
37657;311055;331551;50.552962,43.000304;47.125646068958,39.429415875834
37658;310863;331551;50.733675,42.929625;47.125646068958,39.429415875834
37659;310761;331551;50.027371,45.127398;47.125646068958,39.429415875834
37660;288125;331551;46.012076696328,38.929534039194;47.125646068958,39.429415875834
37661;307438;331551;50.418988,45.699158;47.125646068958,39.429415875834
37662;307353;331551;44.414357,40.790278;47.125646068958,39.429415875834
37663;307267;331551;44.334204,40.78125;47.125646068958,39.429415875834
37664;307182;331551;46.102561,39.293559;47.125646068958,39.429415875834
37665;307097;331551;46.242281,39.590839;47.125646068958,39.429415875834
37666;307012;331551;46.105691,39.549426;47.125646068958,39.429415875834
37667;306927;331551;46.193836,39.543929;47.125646068958,39.429415875834
37668;306757;331551;46.106079,39.419799;47.125646068958,39.429415875834
37669;306582;331551;49.301304,43.982846;47.125646068958,39.429415875834
37670;306500;331551;49.481396,43.859381;47.125646068958,39.429415875834
37671;306417;331551;49.352779,44.033996;47.125646068958,39.429415875834
37674;305630;331551;50.776715,45.060339;47.125646068958,39.429415875834
37675;305545;331551;49.88777,41.651511;47.125646068958,39.429415875834
37676;305460;331551;45.82034,40.787655;47.125646068958,39.429415875834
37677;305358;331551;45.822582917855,40.90862800597;47.125646068958,39.429415875834
37678;305273;331551;44.808783,41.037593;47.125646068958,39.429415875834
37681;304932;331551;45.547915,39.187576;47.125646068958,39.429415875834
37683;304659;331551;45.734207459137,38.722386260493;47.125646068958,39.429415875834
37685;304489;331551;46.175711,40.60324;47.125646068958,39.429415875834
37686;304404;331551;50.998529,40.705756;47.125646068958,39.429415875834
37687;304319;331551;48.947682,43.9162;47.125646068958,39.429415875834
37688;10489;331551;50.959085391839,42.363894707989;47.125646068958,39.429415875834
37690;300035;331551;45.098207,39.665695;47.125646068958,39.429415875834
37691;298122;331551;45.228747,39.901458;47.125646068958,39.429415875834
37692;120468;331551;45.61478,38.934332;47.125646068958,39.429415875834
37693;298623;331551;45.503683,38.950142;47.125646068958,39.429415875834
37695;298153;331551;46.052662248496,39.883173470188;47.125646068958,39.429415875834
37697;274555;331551;50.126086355483,41.961925324264;47.125646068958,39.429415875834
37698;262911;331551;52.014372,41.173482;47.125646068958,39.429415875834
37699;262888;331551;50.764194,41.397566;47.125646068958,39.429415875834
37700;259526;331551;51.304151,42.660975;47.125646068958,39.429415875834
37701;116207;331551;51.360623997231,38.230649591589;47.125646068958,39.429415875834
37702;101329;331551;51.638361,41.508338;47.125646068958,39.429415875834
37703;85449;331551;51.695255,39.018953;47.125646068958,39.429415875834
37704;168464;331551;51.631485,39.570357;47.125646068958,39.429415875834
37705;101053;331551;51.759944,40.72789;47.125646068958,39.429415875834
